#,年,月,期,标题,栏目,栏目e,行业,作者,内容
10,Y2021,M07,#481,再论清末货币制度大讨论的理论意义与现实影响—— 国际货币体系演化视角下的分析,宏观经济与市场,Macro Economy & Market,--,禹钟华,"再论清末货币制
与现实影响
—— 国际货币体系演化
◎禹钟华
摘要：百余年前“清末币制大讨论”这一历史
事件的真实背景是历时两百多年的白银大量流入中
国之后，以英国为首的西方列强于19世纪开始实
行金本位制。这导致了全球长期而持续的白银贬值
直接造成中国社会财富的大幅缩水，也成为西方攫
取中国财富的一个重要且隐蔽的手段。而当时的官
员、学者们纠结于金、银本位制度的讨论本身并无
实质意义，半殖民地的中国并没有选择的余地而只
能接受西方列强的安排。且金属本位制度是源于西
方土壤之上的货币体制，中国以政府为主导的金融
体制下的典型货币形态应该是政府信用货币。也正
是新中国以纸币制度的建立解决了这一历史难题
带来了中国的金融领域“解放”。
关键词：清末币制大讨论；金汇兑本位制；纸币
制度
中图分类号：F832            文献标识码：A
对于“清末币制大讨论”的分析已经是学术界
的老生常谈，但如果以“国际货币体系”演化这一 ..."
11,Y2021,M07,#481,鸦片战争后广州对外贸易中心地位的衰落和启示                                                                        ,宏观经济与市场,Macro Economy & Market,--,陈亦新 孙明春,"Macro Economy & Market
鸦片战争后广州对
地位的衰落和启示
◎陈亦新   孙明春
摘要：1757—1842年间，广州作为清政府“一
口通商”政策下唯一对外商开放的口岸，是中国甚
至亚洲最重要的贸易中心。然而，1842年清政府签
订《南京条约》、开放五口通商之后，广州丧失了
对外贸易的垄断地位，其外贸规模很快被上海和香
港①赶超。毋庸置疑，五口通商后，广州面临上海
等新增口岸的竞争和分流；但其毕竟拥有近百年的
对外通商经验，并设有许多外国领馆及商馆，拥有
绝对的先发优势，贸易分流并不能解释其通商地位
的迅速衰落。本文研究显示，地理位置、排外情绪、
上海和香港更宽松友好的营商环境以及国内多年战
乱等因素共同导致了在广州签订《南京条约》后贸
易中心地位的衰落。对于正在努力打造或维持国际
金融中心（或区域经济中心）地位的城市而言，这
段历史具有重要的启示意义。
关键词：南京条约；广州；对外贸易
中图分类号：F832            文献标识码：A
一、《南京条约》后广州作为中国外
贸中心的衰落
1757年，乾隆皇帝宣布实行“一口通商”政策， ..."
12,Y2021,M07,#481,鸦片战争后广州对外贸易中心地位的衰落和启示,宏观经济与市场,Macro Economy & Market,--,陈亦新 孙明春,"Macro Economy & Market
鸦片战争后广州对
地位的衰落和启示
◎陈亦新   孙明春
摘要：1757—1842年间，广州作为清政府“一
口通商”政策下唯一对外商开放的口岸，是中国甚
至亚洲最重要的贸易中心。然而，1842年清政府签
订《南京条约》、开放五口通商之后，广州丧失了
对外贸易的垄断地位，其外贸规模很快被上海和香
港①赶超。毋庸置疑，五口通商后，广州面临上海
等新增口岸的竞争和分流；但其毕竟拥有近百年的
对外通商经验，并设有许多外国领馆及商馆，拥有
绝对的先发优势，贸易分流并不能解释其通商地位
的迅速衰落。本文研究显示，地理位置、排外情绪、
上海和香港更宽松友好的营商环境以及国内多年战
乱等因素共同导致了在广州签订《南京条约》后贸
易中心地位的衰落。对于正在努力打造或维持国际
金融中心（或区域经济中心）地位的城市而言，这
段历史具有重要的启示意义。
关键词：南京条约；广州；对外贸易
中图分类号：F832            文献标识码：A
一、《南京条约》后广州作为中国外
贸中心的衰落
1757年，乾隆皇帝宣布实行“一口通商”政策， ..."
13,Y2021,M07,#481,迪拜和阿布扎比金融发展对横琴的启示                                                               ,金融前沿,Financial Foresight,--,刘衍 韩立岩  张金清,"Financial Foresight 
迪拜和阿布扎比
启示*
◎刘衍   韩立岩   张金清
摘要：本文梳理了迪拜和阿布扎比的金融发展
历程，重点分析其“自由区”制度实施以来的战略
发展脉络，并与横琴金融发展现状进行了比较。分
析结果显示，阿布扎比作为功能性区域金融中心，
更贴近横琴新区金融布局，在区域金融领域的战略
目标、发展步骤以及可操作性实施方案上可为横琴
新区金融发展建设提供参考。通过分析，本文提出
若干具有可操作性的政策建议，包括横琴新区的金
融发展应从差异化产品与目标客户入手，优先配套
金融基础设施，充分利用特区立法权等。
关键词：阿布扎比；迪拜；横琴新区；金融定位；
战略布局
中图分类号：F837           文献标识码：A
2020年是横琴新区成立十周年。十年间，该地
区生产总值年均增长64%，已具备支持澳门经济适
作者简介：刘衍，复旦大学应用经济学博士后流动站博士后，珠海复旦创
                  北京航空航天大学管理学院金融系教授、博士生导师；张金清
*  基金项目：本文获2018年度国家社会科学基金重大项目“中国地区金 ..."
14,Y2021,M07,#481,迪拜和阿布扎比金融发展对横琴的启示,金融前沿,Financial Foresight,--,刘衍 韩立岩  张金清,"Financial Foresight 
迪拜和阿布扎比
启示*
◎刘衍   韩立岩   张金清
摘要：本文梳理了迪拜和阿布扎比的金融发展
历程，重点分析其“自由区”制度实施以来的战略
发展脉络，并与横琴金融发展现状进行了比较。分
析结果显示，阿布扎比作为功能性区域金融中心，
更贴近横琴新区金融布局，在区域金融领域的战略
目标、发展步骤以及可操作性实施方案上可为横琴
新区金融发展建设提供参考。通过分析，本文提出
若干具有可操作性的政策建议，包括横琴新区的金
融发展应从差异化产品与目标客户入手，优先配套
金融基础设施，充分利用特区立法权等。
关键词：阿布扎比；迪拜；横琴新区；金融定位；
战略布局
中图分类号：F837           文献标识码：A
2020年是横琴新区成立十周年。十年间，该地
区生产总值年均增长64%，已具备支持澳门经济适
作者简介：刘衍，复旦大学应用经济学博士后流动站博士后，珠海复旦创
                  北京航空航天大学管理学院金融系教授、博士生导师；张金清
*  基金项目：本文获2018年度国家社会科学基金重大项目“中国地区金 ..."
15,Y2021,M07,#481,从同仁家庭的快乐到全行的安乐——《张公权金融言论集》（马学斌编著）摘登（5） ,张公权金融思想专栏,Special Column,--,张公权,"[按] 原载《中行月刊》第6期（1930年12月），
同仁聚会祝词的俗套，利用全行聚会之际，言语
重要性；畅谈了对行员个人修养、家庭幸福、银
能安乐，那么我们个人及家庭的安乐，都无所依
国银行的基础一定可以根深蒂固，颠扑不破，才
具备的公德说到私德的重要性，读来入情入理，
从同仁家庭的快
——《  张公权金融言论集
◎张公权
新年的聚会是公共机关数见不鲜的事。我们中
国银行自创立以来，每过新年，总处同仁有总处的
同乐会，沪行同仁有沪行的同乐会，其他的分支行
以至办事处也莫不各有其同乐会，已成了新年所必
需的点缀品。但是唯其如此，同乐会只成了形式上
的具文，而缺少精神上的发露，到会的同仁都不免
带着互相应酬的心理，甚至连会也懒得到，这种现
象尤以人数众多的分支行为显著。这次新年同乐会，
到会的同仁十分踊跃，已是从来少有的现象，尤其
是总处与沪行的同仁共同参加举行，自有中国银行
以来，以此为第一次，更可算是极稀罕极名贵的事。
在这欢乐愉快的会场里，使我幻想到假使能合中国
银行总处及一切分支行办事处全体的同仁欢笑一
堂，岂不是更快乐更圆满？但这是事实上所不可能
的，所以我这种幻想也就终归于幻想，而成为无可
奈何的遗憾。现在就事言事，姑就今日盛大的同乐 ..."
16,Y2021,M07,#481,从同仁家庭的快乐到全行的安乐——《张公权金融言论集》（马学斌编著）摘登（5）,张公权金融思想专栏,Special Column,--,张公权,"[按] 原载《中行月刊》第6期（1930年12月），
同仁聚会祝词的俗套，利用全行聚会之际，言语
重要性；畅谈了对行员个人修养、家庭幸福、银
能安乐，那么我们个人及家庭的安乐，都无所依
国银行的基础一定可以根深蒂固，颠扑不破，才
具备的公德说到私德的重要性，读来入情入理，
从同仁家庭的快
——《  张公权金融言论集
◎张公权
新年的聚会是公共机关数见不鲜的事。我们中
国银行自创立以来，每过新年，总处同仁有总处的
同乐会，沪行同仁有沪行的同乐会，其他的分支行
以至办事处也莫不各有其同乐会，已成了新年所必
需的点缀品。但是唯其如此，同乐会只成了形式上
的具文，而缺少精神上的发露，到会的同仁都不免
带着互相应酬的心理，甚至连会也懒得到，这种现
象尤以人数众多的分支行为显著。这次新年同乐会，
到会的同仁十分踊跃，已是从来少有的现象，尤其
是总处与沪行的同仁共同参加举行，自有中国银行
以来，以此为第一次，更可算是极稀罕极名贵的事。
在这欢乐愉快的会场里，使我幻想到假使能合中国
银行总处及一切分支行办事处全体的同仁欢笑一
堂，岂不是更快乐更圆满？但这是事实上所不可能
的，所以我这种幻想也就终归于幻想，而成为无可
奈何的遗憾。现在就事言事，姑就今日盛大的同乐 ..."
17,Y2021,M11,#485,碳达峰与碳中和：高质量发展的必然选择与难题破解  ,时评,Review,--,贾康,"选择与难题破解
◎贾康
摘要：本文讨论了碳达峰、碳中和的含义和重
要意义，进而探讨实现低碳转型的方式。一是不能
只依靠行政手段，还要通过制度创新，利用投融资
机制的构建、发展产业基金等经济手段。二是充分
利用价格机制，优化电力能源价格关系，以调动企
业和居民绿色低碳发展的积极性和自觉性。三是利
用绿色金融助力碳中和目标。本文认为绿色金融机
制建设的三大原则是多元主体风险共担、合理遴选
融资支持对象和政府在风险可控的前提下引导试错
和探索。
关键词：碳中和；碳达峰；绿色金融；高质量发展
中图分类号：F832         文献标识码：A
碳达峰要求我国最晚在2030年二氧化碳排放
量不再增长，此后碳排放应逐渐降低。碳中和是把
企业、个人、社会团体等主体加总进行测算，要求
于一定时间段内直接或间接产生的温室气体，在通
过植树造林等碳捕获和碳封存（碳汇）方式抵消后
在总体上实现零排放。我国将这两个目标作为国家
现代化推进过程中对全世界的庄严承诺，意义非常
重大，已成为有时间表要求的战略性目标。其应对
的是人类社会共同面临的气候变化危机。 ..."
18,Y2021,M11,#485,巩固提升产业链优势推动我国经济高质量发展  ,价值链重塑与经贸格局重构专栏,Special Column,--,陈卫东,"高质量发展①
◎陈卫东
摘要：近年来，中美经贸摩擦、逆全球化风潮
等带来国际产业链发展环境变化，我国也出现了部
分产能对外转移现象，值得关注。本文从直接投资
视角探究产业链转移的状况。面对新变化、新挑战
巩固和提升我国产业链优势具有重要意义。本文在
探究当前我国产业链发展的有利条件与不利因素的
基础上，提出了相关政策建议。
关键词：产业链；发展环境；转型升级；FDI
OFDI
中图分类号：F832         文献标识码：A
提升产业链发展水平对于促进经济增长和就业
区域协调发展与劳动生产率提升均具有重要意义
一是产业链延伸能增强就业吸纳能力和辐射带动能
力。例如，半导体的产业链就涉及材料设计、制造
封测、应用等多个环节。产业链延伸拓展既有利于
增强抵御市场风险的能力，又能带动解决更多就业
二是产业链合作有助于促进区域协调发展。我国地
域广阔，不同地区资源禀赋、发展条件、产业基础
等差异较大，区域间产业链合作既有利于避免各地
重复建设，又有利于发挥各地比较优势，推动我国
区域协调发展。三是产业链的高端化发展有利于提 ..."
19,Y2021,M11,#485,全球产业链重塑与全球贸易规则重构  ,价值链重塑与经贸格局重构专栏,Special Column,--,屠新泉,"◎屠新泉
摘要： 全球产业链整体一直处于动态调整的适
应过程中，而近期全球产业链的变化受到多重力量
的冲击。金融危机是全球产业链的转折点，数字化
绿色化的技术转型对全球产业链产生较大影响，全
球贸易规则重构也对全球产业链产生了重要影响
基于此，本文梳理了美国贸易政策转向的趋势，以
及国际经贸规则新趋势。
关键词：全球产业链；贸易规则；美国政策转向
CPTPP；RCEP
中图分类号：F831         文献标识码：A
全球产业链的重塑或变化是个动态的过程。从
市场的角度分析，由于各国之间要素禀赋的变化或
者经济发展速度存在差异，全球产业链整体一直处
于动态调整的过程，而近期全球产业链的变化受到
多重力量的冲击。
一、影响全球产业链的因素
在2008年之前，全球产业链的趋势总体上是加
深、扩展的，2008年之后则是萎缩的。当前，回顾
2008年全球金融危机产生的变化对全球各个方面的
影响，比当时预计的要大得多，包括对世界经济增长 ..."
20,Y2021,M11,#485,美联储货币政策转向：背景、事实与应对 ,美联储货币政策转向影响专栏,Special Column,--,李晓 陈煜,"美联储货币政策转
背景、事实与应对①
◎李晓   陈煜
摘要： 新冠肺炎疫情暴发以来，美联储采取了无
限量宽松的货币政策，全球主要央行纷纷跟进，随之
衍生的货币超发给世界经济带来深刻影响。在此背景
下，关于美联储在何种时间、以何种方式、按何种节
奏进行政策转向，成为理论界和全球市场投资者共同
关心的问题。历史来看，历次美联储政策转向的逻辑
都与同时代美国经济基础和主流经济哲学嬗变高度相
关。本次疫情应对中，美联储再次调整货币政策目标
框架，决策相机性明显增强，大大增加了政策转向的
预判难度。根据当前形势，美联储可能于2021年年
底完成前瞻指引，并最早在2022年年底正式进入加
息进程。在此过程中，美联储货币政策实践主要面临
四个矛盾：一是控制通胀与促进就业之间的矛盾；二
是维护金融稳定与恢复实体经济之间的矛盾；三是“最
后贷款人”与“最后做市商”之间的矛盾；四是美元
体系“短期稳定”与“长期可持续”之间的矛盾。当
下，在中美宏观政策及其经济基础存在明显差异的条
件下，中国应保持灵活审慎的货币政策以平衡“促发
展”与“防风险”，在继续深化金融改革的同时注重
K型复苏对社会的深刻影响，并应更加重视中美货币
政策合作与国际金融协调。
作者简介：李晓，教育部“长江学者”特聘教授，吉林大学“匡亚明学者”卓
                 陈煜，吉林大学经济学院博士研究生，横琴智慧金融研究院/吉 ..."
21,Y2021,M11,#485,美联储货币政策转向与新兴经济体风险研判 ,美联储货币政策转向影响专栏,Special Column,--,钟红 赵雪情 邹子昂,"风险研判①
◎钟红   赵雪情   邹子昂
摘要： 在2021年9月议息会议上，美联储已明
确释放Taper（缩减QE）信号，货币政策转向大势
已确立，最早于2021年11月启动缩减购债，2022
年或将开始加息进程。考虑到2013年“缩减恐慌
（Taper Tantrum）”给全球金融市场带来的巨大负面
冲击，本文在美联储货币政策转向预期升温背景下
分析新兴经济体面临的影响和冲击，以及对我国的
外溢影响，探讨相关应对方案。
关键词：货币政策转向；Taper；新兴经济体
中图分类号：F831         文献标识码：A
一、美国本轮宽松周期进入尾声
Taper 在即
（一）美联储货币政策转向节点将至
第一，疫情对美国经济影响渐弱。尽管2021
年7月以来，德尔塔变异毒株感染病例大幅增加
但美国政府并未重启疫情初期的严格管控与封锁措
施，防控重心放在疫苗研发和推广上。美国疫情形
势有所好转，新冠肺炎疫情死亡率显著下降。截至
2021年9月8日，美国累计死亡人数占累计确诊人 ..."
22,Y2021,M11,#485,美联储政策路线图及其影响 ,美联储货币政策转向影响专栏,Special Column,--,钟正生,"美联储政策路线图
◎钟正生 
摘要： 本文通过对新冠肺炎疫情暴发前后美联储
政策路线的分析，提出以下三个主要观点：美联储官
宣和实施Taper的时机或已成熟；美国金融市场的整
体韧性仍然较强；美联储的一系列行动对新兴市场国
家尤其是中国的冲击或可控。
关键词：美联储；货币政策；资本市场
中图分类号：F831         文献标识码：A
一、美联储政策正常化路线
(一) 美联储政策转向背景：与2013年
比较
1.从经济增长角度看
新冠肺炎疫情暴发后，美国经济在货币、财政、
疫苗等多因素助力下快速复苏，经济增长势头甚至
一度超过危机前水平。然而，2021年下半年以来，
德尔塔变异病毒以及财政退坡使美国经济增长边际
走弱（见图1）。美联储政策在此背景下保持“按兵
不动”。随着新冠肺炎疫情影响淡化，第四季度美国
经济复苏节奏有望快于第三季度。
美联储等官方机构和金融市场对美国2021年实
际GDP预测的难度加大、共识减弱：前期，美国官方
机构及国际组织对美国经济走势表现出乐观情绪，其
作者简介：钟正生，平安证券首席经济学家。
① 本文是根据作者于2021年9月18日在横琴智慧金融论坛（2021年第三 ..."
23,Y2021,M11,#485,横琴合作区打造国际金融枢纽新支点 ,琴澳产业合作与金融支持专栏,Special Column,--,刘少波 梁晋恒,"横琴合作区打造国
◎刘少波   梁晋恒
摘要：中央对粤港澳大湾区的发展高度重视，从
世界全局和国家战略高度对大湾区发展作出顶层设计
和战略规划，横琴合作区将在大湾区建设国际金融枢
纽进程中，发挥独特的作用和扮演更加重要的角色。
本文分析了在建设大湾区国际金融枢纽进程中，合作
区打造国际金融枢纽新支点的必要性和多方面的可行
性，并提出建设国际金融枢纽新支点应当着力打造六
个“新”的政策建议。
关键词：粤港澳大湾区；合作区；金融枢纽
中图分类号：F832         文献标识码：A
近年来，中央对粤港澳大湾区的发展高度重
视，从世界全局和国家战略高度对大湾区发展作出
顶层设计和战略规划，先后出台了《粤港澳大湾区
规划纲要》（以下简称《规划纲要》）、《深圳建设中
国特色社会主义先行示范区综合改革试点实施方案
（2020－2025年）》《全面深化前海深港现代服务业
合作区改革开放方案》和《横琴粤澳深度合作区建
设总体方案》（以下简称《横琴方案》）。这些规划方
案中，对大湾区金融发展的总体定位是：建设国际金
融枢纽。在建设国际金融枢纽进程中，横琴粤澳深
度合作区（以下简称“合作区”）应当，也必将发挥
独特的作用和扮演更加重要的角色，有望成为大湾
区国际金融枢纽的新支点。 ..."
