#,年,月,期,标题,栏目,栏目e,行业,作者,内容
10,Y2019,M01,#451,国际流动性风险监管及中资银行的应对策略,银行业经营管理,Banking Management,--,夏婧,"中资银行的应对
◎夏婧
摘要：2008年的金融危机使国际监管机构认识到
对流动性风险监管和管理的重要性。在巴塞尔协议统
一框架下，相关国家和地区流动性风险监管的针对性
不断加强，监管标准不断趋严，跨境监管配合也更加
密切。当前，全球流动性风险加大，中资银行国际化
提速带来了如何适应国际流动性风险监管规则的问题
需要加快资产负债业务的转型，加强流动性风险统筹
管理能力。
关键词：中资银行；国际监管；流动性风险；资产
负债 
一、主要国家和地区流动性风险监管实
践
金融危机后，国际监管机构着力强化流动性风险
监管，将流动性风险监管提升至与资本充足监管并列
的重要的位置。巴塞尔委员会陆续出台了《流动性风
险管理和监管的稳健原则》《流动性风险计量标准和监
测的国际框架》等监管文件，明确了流动性风险管理
的框架和方法，并提出了流动性覆盖率（LCR）和净稳
定资金比率（NSFR）两个流动性风险量化指标。在巴
塞尔委员会流动性风险监管的框架下，各主要国家和
地区监管机构积极建立并完善自身的流动性风险监管
架构，制定适合自身的流动性风险监管规则和监管指
标。 ..."
11,Y2019,M01,#451,关于构建“海丝人民币汇率指数”期货的构想                                                ,宏观经济与市场,Macro Economy & Market,--,管涛  王乾筝  黎琪嘉  谢月兰,"关于构建“海丝
期货的构想①
◎管涛  王乾筝  黎琪嘉  谢月兰
摘要：十九大明确提出，要积极促进“一带一路
国际合作，打造国际合作新平台，增添共同发展新
动力。缺乏汇率避险工具是制约“一带一路”倡议
推进的金融痛点。本文提出将越南盾、马来西亚林
吉特、泰国泰铢、新加坡元、印尼卢比、菲律宾比
索纳入货币篮子，构建海上丝绸之路人民币指数（简
称“海丝人民币指数”）期货，并在场内交易场所
进行交易，为相关企业从事沿线国家和地区的经贸
活动提供汇率避险工具的设想；同时，对产品的运
行做了风险评估，并提出了配套措施。
关键词：“一带一路”；外汇衍生品；人民币指数
一、“  一带一路”沿线的汇率避险需求
突出
“一带一路”前景广阔，国家之间经济、金融
的合作潜力巨大，但许多沿线国家金融市场发展滞
后，风险较大。一是过去的两三年时间里，印度卢
比、俄罗斯卢布、哈萨克斯坦坚戈、马来西亚林吉
特等货币都曾出现大幅贬值，侵蚀了中国企业的大
量利润。二是沿线国家币种兑换成外汇困难，币种
的流动性较差。三是对冲这些国家货币（尤其是小
币种，如越南盾）利率风险、汇率风险的工具较为
作者简介：管涛，中国金融四十人论坛高级研究员；王乾筝，中国社 ..."
12,Y2019,M01,#451,关于构建“海丝人民币汇率指数”期货的构想,宏观经济与市场,Macro Economy & Market,--,管涛  王乾筝  黎琪嘉  谢月兰,"关于构建“海丝
期货的构想①
◎管涛  王乾筝  黎琪嘉  谢月兰
摘要：十九大明确提出，要积极促进“一带一路
国际合作，打造国际合作新平台，增添共同发展新
动力。缺乏汇率避险工具是制约“一带一路”倡议
推进的金融痛点。本文提出将越南盾、马来西亚林
吉特、泰国泰铢、新加坡元、印尼卢比、菲律宾比
索纳入货币篮子，构建海上丝绸之路人民币指数（简
称“海丝人民币指数”）期货，并在场内交易场所
进行交易，为相关企业从事沿线国家和地区的经贸
活动提供汇率避险工具的设想；同时，对产品的运
行做了风险评估，并提出了配套措施。
关键词：“一带一路”；外汇衍生品；人民币指数
一、“  一带一路”沿线的汇率避险需求
突出
“一带一路”前景广阔，国家之间经济、金融
的合作潜力巨大，但许多沿线国家金融市场发展滞
后，风险较大。一是过去的两三年时间里，印度卢
比、俄罗斯卢布、哈萨克斯坦坚戈、马来西亚林吉
特等货币都曾出现大幅贬值，侵蚀了中国企业的大
量利润。二是沿线国家币种兑换成外汇困难，币种
的流动性较差。三是对冲这些国家货币（尤其是小
币种，如越南盾）利率风险、汇率风险的工具较为
作者简介：管涛，中国金融四十人论坛高级研究员；王乾筝，中国社 ..."
13,Y2019,M01,#451,跨境资金异常流动风险及其防范,宏观经济与市场,Macro Economy & Market,--,中国人民银行党校调研组,"跨境资金异常流
◎中国人民银行党校调研组
摘要：习近平总书记在党的十九大报告中提出
要坚决打好防范化解重大风险、精准脱贫、污染防
治的攻坚战。中央经济工作会议要求，打好防范化
解重大风险的攻坚战，重点是防控金融风险。在跨
境收支领域，需要重点防控的金融风险是跨境资金
异常流动风险，即跨境资金的流出入日益脱离实际
贸易和投资基础，成为“热钱”在国际金融市场间
大进大出，干扰相关国家正常的经济金融秩序。本
文在系统梳理我国跨境资金异常流动的主要渠道以
及跨境资金异常流动管理问题的基础上，对我国进
一步完善跨境资金异常流动风险防范体系提出了对
策建议。
关键字：跨境资金异常流动；风险；防范
一、我国跨境资金异常流动的主要渠
道及方式
对于跨境资金异常流动要辩证地看待，既要看
到其借助非法渠道实现跨境资金违规流动，也要看
到合规但不利于国际收支平衡的异常流动；既要看
到合规异常跨境资金流动的不利方面，也要客观对
待真实合规的交易基础。
目前，我国违规跨境资金异常流动主要有以下
几个渠道。 ..."
14,Y2019,M01,#451,跨境资金异常流动风险及其防范,宏观经济与市场,Macro Economy & Market,--,中国人民银行党校调研组,"跨境资金异常流
◎中国人民银行党校调研组
摘要：习近平总书记在党的十九大报告中提出
要坚决打好防范化解重大风险、精准脱贫、污染防
治的攻坚战。中央经济工作会议要求，打好防范化
解重大风险的攻坚战，重点是防控金融风险。在跨
境收支领域，需要重点防控的金融风险是跨境资金
异常流动风险，即跨境资金的流出入日益脱离实际
贸易和投资基础，成为“热钱”在国际金融市场间
大进大出，干扰相关国家正常的经济金融秩序。本
文在系统梳理我国跨境资金异常流动的主要渠道以
及跨境资金异常流动管理问题的基础上，对我国进
一步完善跨境资金异常流动风险防范体系提出了对
策建议。
关键字：跨境资金异常流动；风险；防范
一、我国跨境资金异常流动的主要渠
道及方式
对于跨境资金异常流动要辩证地看待，既要看
到其借助非法渠道实现跨境资金违规流动，也要看
到合规但不利于国际收支平衡的异常流动；既要看
到合规异常跨境资金流动的不利方面，也要客观对
待真实合规的交易基础。
目前，我国违规跨境资金异常流动主要有以下
几个渠道。 ..."
15,Y2019,M01,#451,东盟地区2018年货币政策回顾与2019年展望 ,宏观经济与市场,Macro Economy & Market,--,廖淑萍,"东盟地区 2018
2019 年展望
◎廖淑萍
2018年，受全球贸易摩擦、主要经济体货币
政策正常化等不确定性因素的影响，全球经济增
长动力放缓，下行风险加大。自2018年9月以来
IMF、OECD等国际组织接连下调了2018年和2019
年全球增长预期。初步判断，2018年全球GDP增
速为3.2%，较2017年回落0.1个百分点。
近年来，东盟地区发展状态良好，成为世界经
济增长的重要“火车头”。在全球复苏放缓、外需疲
弱的背景下，2018年东盟经济增速也出现下滑，但
总体仍维持在5%左右的水平。一些经济体跟随美联
储加息步伐，于2018年启动了加息进程，印尼、菲
律宾等国甚至出现连续加息。展望未来，出口放缓
通胀上升、资本流出和国际收支恶化等问题，可能
成为影响东盟经济发展和货币政策走向的重要因素。
一、2018 年东盟经济形势
根据IMF和ADB等机构的预测，2018年东盟
经济增速将达到5.2%，较2017年下降0.1个百分
点（见图1）。不同国家之间存在一定差异，新加
坡、马来西亚和泰国表现良好，经济增速超过2017
年的水平；文莱、柬埔寨经济增速与上年基本持平
印度尼西亚、老挝、缅甸、菲律宾等国，经济则出
现放缓。 ..."
16,Y2019,M01,#451,东盟地区2018年货币政策回顾与2019年展望,宏观经济与市场,Macro Economy & Market,--,廖淑萍,"东盟地区 2018
2019 年展望
◎廖淑萍
2018年，受全球贸易摩擦、主要经济体货币
政策正常化等不确定性因素的影响，全球经济增
长动力放缓，下行风险加大。自2018年9月以来
IMF、OECD等国际组织接连下调了2018年和2019
年全球增长预期。初步判断，2018年全球GDP增
速为3.2%，较2017年回落0.1个百分点。
近年来，东盟地区发展状态良好，成为世界经
济增长的重要“火车头”。在全球复苏放缓、外需疲
弱的背景下，2018年东盟经济增速也出现下滑，但
总体仍维持在5%左右的水平。一些经济体跟随美联
储加息步伐，于2018年启动了加息进程，印尼、菲
律宾等国甚至出现连续加息。展望未来，出口放缓
通胀上升、资本流出和国际收支恶化等问题，可能
成为影响东盟经济发展和货币政策走向的重要因素。
一、2018 年东盟经济形势
根据IMF和ADB等机构的预测，2018年东盟
经济增速将达到5.2%，较2017年下降0.1个百分
点（见图1）。不同国家之间存在一定差异，新加
坡、马来西亚和泰国表现良好，经济增速超过2017
年的水平；文莱、柬埔寨经济增速与上年基本持平
印度尼西亚、老挝、缅甸、菲律宾等国，经济则出
现放缓。 ..."
17,Y2019,M01,#451,加密资产对金融稳定的潜在影响分析,金融前沿,Financial Foresight,--,曾繁荣,"Financial Foresight 
加密资产对金融
潜在影响分析
◎曾繁荣
摘要：当前，全球加密资产的市值虽然与金融
系统相比还较低，但近年来发展迅速，加密资产交
易平台、新型金融产品、散户投资者等大量涌现，
因而有必要密切关注加密资产市场对金融稳定的潜
在影响。本文分析了加密资产市场面临的潜在风险、
影响金融稳定的传导渠道，以及全球监管机构所采
取的监管行动。
关键词：加密资产；主要风险；传导渠道；监管
行动
引言
本文讨论由私人发行的加密资产，也就是公
众通常所指的加密资产。它主要依赖于密码技术和
分布式账本技术（DLT）作为其感知或内在价值的
一部分。它最初设想在不需要可信任第三方中介的
情况下进行价值转移。有时它被称为“加密货币”，
充当数字交换手段或具有数字交换手段的特征。但
它目前并不能可靠地提供货币的标准功能，难以安
全地作为交换媒介或存储价值；也不能作为一个账
户单位使用，因为它既未得到任何政府或其他机构
的支持，在任何国家也不是法定货币，还并未得到
发行人或其他数字代币（如证券代币、实用代币）
的兑付保证，只有民间部分私营企业和公共部门接
受加密资产作为支付手段。 ..."
18,Y2019,M01,#451,加密资产对金融稳定的潜在影响分析,金融前沿,Financial Foresight,--,曾繁荣,"Financial Foresight 
加密资产对金融
潜在影响分析
◎曾繁荣
摘要：当前，全球加密资产的市值虽然与金融
系统相比还较低，但近年来发展迅速，加密资产交
易平台、新型金融产品、散户投资者等大量涌现，
因而有必要密切关注加密资产市场对金融稳定的潜
在影响。本文分析了加密资产市场面临的潜在风险、
影响金融稳定的传导渠道，以及全球监管机构所采
取的监管行动。
关键词：加密资产；主要风险；传导渠道；监管
行动
引言
本文讨论由私人发行的加密资产，也就是公
众通常所指的加密资产。它主要依赖于密码技术和
分布式账本技术（DLT）作为其感知或内在价值的
一部分。它最初设想在不需要可信任第三方中介的
情况下进行价值转移。有时它被称为“加密货币”，
充当数字交换手段或具有数字交换手段的特征。但
它目前并不能可靠地提供货币的标准功能，难以安
全地作为交换媒介或存储价值；也不能作为一个账
户单位使用，因为它既未得到任何政府或其他机构
的支持，在任何国家也不是法定货币，还并未得到
发行人或其他数字代币（如证券代币、实用代币）
的兑付保证，只有民间部分私营企业和公共部门接
受加密资产作为支付手段。 ..."
19,Y2019,M01,#451,对我国个人税收递延型养老保险的研究,金融前沿,Financial Foresight,--,殷贵梅,"Financial Foresight 
对我国个人税收
养老保险的研究
◎殷贵梅
摘要：随着人口老龄化进程的日益加剧，养老
支出的压力越来越大。为了积极应对不断增长的养
老支出，我国近期开展了个人税收递延型商业养老
保险试点工作。本文对我国养老保险现状进行了简
要分析，指出当前推出个人税收递延型养老保险的
必要性，并分析了我国试点项目实施过程中的问题；
最后，结合美国和德国的先进实践经验,提出了相
应的政策建议。
关键词：老龄化；税收递延；养老保险
我国自20世纪90年代起，开始逐步对养老保
险制度进行改革。经过二十多年的发展，已形成了
社会养老保险体系的基本框架，即基本养老保险和
企业（职业）①年金两大养老体系。基本养老金一
支独大，在养老规模中占比80%左右；企业（职业）
年金发展迅速，成为养老金的重要补充。但从养老
资金的供求情况和其覆盖面看，与居民日益提升的
养老需求尚有一定差距。从国际通用的三支柱养老
体系②看，我国的第三支柱——个人补充养老保险，
仍为空白。因此，发展个人税收递延型养老保险，
通过税收优惠刺激个人补充养老保险，对完善我国
的养老体系，是十分必要的。
作者简介：殷贵梅，硕士，中国人民银行苏州市中心支行，经济师。
① 企业（职业）年金是指面向城镇化企业职工的企业年金和面向机关事业 ..."
20,Y2019,M01,#451,对我国个人税收递延型养老保险的研究,金融前沿,Financial Foresight,--,殷贵梅,"Financial Foresight 
对我国个人税收
养老保险的研究
◎殷贵梅
摘要：随着人口老龄化进程的日益加剧，养老
支出的压力越来越大。为了积极应对不断增长的养
老支出，我国近期开展了个人税收递延型商业养老
保险试点工作。本文对我国养老保险现状进行了简
要分析，指出当前推出个人税收递延型养老保险的
必要性，并分析了我国试点项目实施过程中的问题；
最后，结合美国和德国的先进实践经验,提出了相
应的政策建议。
关键词：老龄化；税收递延；养老保险
我国自20世纪90年代起，开始逐步对养老保
险制度进行改革。经过二十多年的发展，已形成了
社会养老保险体系的基本框架，即基本养老保险和
企业（职业）①年金两大养老体系。基本养老金一
支独大，在养老规模中占比80%左右；企业（职业）
年金发展迅速，成为养老金的重要补充。但从养老
资金的供求情况和其覆盖面看，与居民日益提升的
养老需求尚有一定差距。从国际通用的三支柱养老
体系②看，我国的第三支柱——个人补充养老保险，
仍为空白。因此，发展个人税收递延型养老保险，
通过税收优惠刺激个人补充养老保险，对完善我国
的养老体系，是十分必要的。
作者简介：殷贵梅，硕士，中国人民银行苏州市中心支行，经济师。
① 企业（职业）年金是指面向城镇化企业职工的企业年金和面向机关事业 ..."
21,Y2022,M03,#489,购买力平价理论视角：人民币中长期必然升值吗,时评,Review,--,管涛 付万丛,"必然升值吗
◎管涛   付万丛
摘要：一些观点以人民币名义汇率与购买力平价
最终收敛为依据，认为人民币中长期必然升值，却忽
略存在多种收敛方式的可能性。实践中，全球百年变
局、金融力量上升、国内人口老龄化和经济结构改革
使得名义汇率中长期走势存在较大不确定性，也会影
响到购买力平价汇率走势。未来，两者既有可能升值
收敛，也可能贬值收敛。全球通胀和货币政策（包括
中国）趋同可能减缓人民币价差收敛，不排除当前价
差状态将会维持较长时间。
关键词：人民币汇率；购买力平价
中图分类号：F83            文献标识码：A
汇率是两个货币的比价关系，是一个国家内外
循环平衡的重要观察指标。市场分析已经形成一套相
对完善的框架，往往从基本面差异、国债利差和交易
情绪等短期因素来捕捉汇率信号，并以此制订应对策
略。虽然长期汇率走势是由一系列的短期走势搭建而
成，但是短期分析框架蕴含过多的“干扰”信息，可
能会导致对中长期走势的误判。此外，政策制定者需
要做长期计划，更加注重中长期走势。其中，购买力
平价理论（PPP，Purchasing Power Parity Theory）尽
管由于其严格的假设和实践的背离使得该理论逐渐式
微，但仍大有市场，是经济学理论界讨论中长期汇 ..."
