#,年,月,期,标题,栏目,栏目e,行业,作者,内容
10,Y2017,M01,#427,资本市场并购视域下反收购措施的合法性——以“毒丸”计划制定与启动权力分配为例,宏观经济与市场,Macro Economy & Market,--,丁磊,"摘要：我国上市公司的收购与反收购争夺战逐
渐蔓延到资本市场。对反收购策略的有效性及其在
我国《公司法》等法律制度框架下的合法性讨论，
在自贸区进一步延拓、外资进一步引进的当下显得
更加重要。本文以“毒丸”策略为线索，就毒丸在
中国《公司法》适用环境的合法性进行讨论，并以美、
日对“毒丸”制度容忍程度的变迁为例，提出该制
度的宽松程度事实上是公司运行中股东会与董事会
权力分配的缩影，进而从董事会与股东会权力分配
角度展望中国版本“毒丸”计划的未来。
关键词：“毒丸”计划；反收购；董事会权力；
股东会；中心主义
随着自贸区的不断开放，跨国并购不断增多；
同时，国外成熟公司法体系的“武器”频繁出现于
国内公司争议中。在我国日趋成熟的资本市场环境
下，二级市场的资本并购也逐渐成为收购的常规手
段。从国内外已有的案件看。效力未定的反收购
措施不断出现在由公司章程引起的案件之中。包括
作者简介：丁磊，华东政法大学经济法学院硕士，华东政法大学经济法律 ..."
11,Y2017,M01,#427,巴黎俱乐部:源起、规则与作用	——兼论对中国的启示,金融前沿,Financial Foresight,--,赵雅婧 李瑞民,"巴黎俱乐部是以西方发达国家为主导的官方债
权人非正式组织，是解决国际经济、政治和主权债
务的重要谈判场所，是处理与发展中国家债务关系
的国际利益协调机制，在发达国家与发展中国家关
系处理上发挥着极其重要的作用。巴黎俱乐部也成
为杭州G20会议的重要议题之一。本文详细介绍了
巴黎俱乐部的基本情况、组织架构、会议机制、债
务重组规则和债务减免情况，深入分析了其运作模
式和积极作用，并进一步探讨了中国加入巴黎俱乐
部的利弊得失和战略选择。
一、巴黎俱乐部概述
成立于1956年的巴黎俱乐部，是主权债权人
重新协商对其他国家官方信贷的重要论坛（官方信
贷包括债权人政府发放的贷款、提供的保险或担
保）。它致力于减免或重新协商俱乐部各成员国对
发展中国家的债务。巴黎俱乐部现有21个常任理
作者简介：赵雅婧，经济学博士，中国出口信用保险公司博士后科研 ..."
12,Y2017,M01,#427,危机后主权财富基金对安全资产投资趋势研究,金融前沿,Financial Foresight,--,张启迪,"摘要：自2000年以来，主权财富基金的规模稳
步增长，新设速度也不断加快，对全球金融市场的
影响力越来越大。次贷危机之后，主权财富基金的
的资产配置发生了很大的变化，对安全资产的投资
大幅上升。本文对危机后主权财富基金投资安全资
产的趋势、原因和特点进行了研究，结果表明，危
机后主权财富基金对房地产的投资规模大幅攀升
并且投资意愿也在不断增强，重点投资北美和欧洲
地区。在对基础设施的投资方面，自2015年起开
始大幅增长，投资地域相对偏好于欧洲和亚洲等地
区。本文的研究结论可为中投以及其他机构投资者
未来资产配置策略的制定提供一定的借鉴。
关键词：主权财富基金；安全资产；房地产；基
础设施
引言
全球第一只主权财富基金——科威特投资委员
会成立于1953年。当时科威特每年将石油收入的
10%交由该机构管理。2005年7月，美国道富银 ..."
13,Y2017,M01,#427,我国科技金融发展与国际经验借鉴	——以日本、德国、以色列为例,金融前沿,Financial Foresight,--,许超,"摘要：科技金融是我国科技创新体系和金融体
系的重要组成部分。本文对我国现阶段科技金融发
展的总体情况进行了考察，分析了发展中存在的制
约因素，并对日本、德国以及以色列等国家科技金
融的发展经验进行了总结和借鉴。本文最后提出了
对我国科技金融发展的对策建议。
关键词：科技金融；创新企业；国外经验；发展
建议
科技金融是科技产业与金融产业的深度融合
科技创新企业一般都伴随着高风险与较大融资需
求，因此科技产业与金融产业的融合更多体现在科
技企业寻求融资的过程。对于科技金融的定义目前
并未统一，达到普遍共识的是赵昌文等人（2009
的表述：科技金融是促进科技开发、成果转化和高
新技术产业发展的一系列金融工具、金融制度、金
融政策与金融服务的系统性、创新性安排，是由参
与其中的政府、企业、市场、社会中介机构等各种
主体及其行为活动共同组成的一个体系，是国家科
技创新体系和金融体系的重要组成部分。 ..."
14,Y2017,M02,#428,中国梦的金融诠释与资本市场的历史使命,时评,Review,--,周军,"中国梦是一个内涵十分丰富、愿景十分宏大的
概念，既蕴含着对历史的继承和反思，也包含着对
当代社会的准确把握和分析，更充满着对未来发展
的规划和憧憬。它的旗帜和核心是中华民族的伟大
复兴。它以复兴为起点、以振兴为过程、以富强为
归宿，在确保人民群众有充分获得感的基础上，将
初始目标定位于区域性大国之列，终极目标则锁定
在世界性强国之巅。
在这个实现中国梦的过程中，政治、经济、军
事、科技、文化、社会等诸方面的改革发展和协调
推进固然十分重要，但金融领域的改革发展及金融
体系的核心作用发挥，更应当引起高度重视。因为
在实现中国梦的诸多领域及诸多方面中，金融是显
而易见的短板，而在经济金融化、金融全球化的背
景下，这个短板对全局的制约，甚至有“一票否决
的效力。金融不活，振兴乏力；金融不强，富强无望
正是基于这个认识，本文试从历史和逻辑的结合上
对金融在实现中国梦过程中的地位和作用，以及如
何尽快补齐金融短板的问题做一初步探讨。 ..."
15,Y2017,M02,#428,深化经营转型 提高银行收入水平,银行家论坛,Banker's Forum,--,惠桂欣,"当前，经济增长乏力导致银行不良回升和盈利能
力下降，多重压力之下，中国银行业正在告别高增长、
高息差、高利润的“三高”时代，缓步踏入“质量下
滑、息差收窄、盈利放缓”的“新时期”。面对新形势，
创新转型发展既是大势所趋，也是形势所迫。如何改
善经营状况，保持稳定盈利，跑出创新转型“最先一
公里”的勇气与魄力，笔者认为，当前银行业应着力
从六个方面深化经营转型，增加收入，节约支出，拓
展盈利空间，为转型发展积聚动力。
一、	负债业务低成本化
在利率市场化基本到位的形势下，应将更多资源
和精力投入到拓展核心存款和低成本资金来源上，千
方百计扩大核心存款规模；同时，大力优化存款结构，
变“负债经营”为“经营负债”，严格控制高成本负债，
增强存款稳定性，有效降低付息成本。
在发展策略上，要牢固树立“存款立行”理念。
要坚持低成本扩份额，将存款工作做在平时，更加注
重日均存款的增长。一方面，在一般性负债上稳住阵
脚，坚持客户存款基础地位不动摇，狠抓低成本资金，
大力争揽企业年金、财政、社保、军队等行业的存款，
巩固提升行政事业单位存款贡献；同时，通过渗透优 ..."
16,Y2017,M02,#428,基于CAMELS评价体系的中外租赁公司比较—— 以飞机租赁为例,银行业经营管理,Banking Management,--,赵宏伟  祝建,"摘要：尽管近年来在国家和地方一系列政策利好
的推动下，我国的租赁行业出现了快速发展；但与发
达国家相比，我国租赁行业在很多方面仍处于追赶阶
段。本文以飞机租赁为例，分别选取了具有代表性的
三家国外租赁公司和三家中资租赁公司，然后运用
CAMELS评价体系，对这六家租赁公司近三年的财务
数据进行实证分析。通过实证结果的对比，本文总结
出我国租赁公司与国外先进同行之间存在的差距主要
在资本充足率、管理水平和流动性三个方面。最后
本文针对这三方面的不足，并结合我国租赁业的实际
情况及笔者的从业经验，对我国租赁业的未来发展提
出了相关建议。
关键字：租赁公司；CAMELS评价体系；资本充
足率；流动性
近年来，在国家和地方出台的一系列利好租赁
行业政策的推动下，我国租赁业的发展进入了“快车
道”。中国租赁联盟等编写的《2016上半年中国融资
租赁业发展报告》显示：截至2016年6月底，全国
租赁企业总数约5708家，行业注册资金合计达19721
亿元人民币，全国所有租赁公司的期末租赁合同余 ..."
17,Y2017,M02,#428,社交金融：商业银行转型发展新路径,银行业经营管理,Banking Management,--,纪瑞朴  王胤文  王晓婷 ,"摘要：社交金融因社交网络的迅速发展应运而生，
它立足朋友圈、社交圈，通过微信、微博等展开“病毒式”
传播，具有精准快速营销、应用场景融入生活等独特优势，
不仅极大提升了金融业务的推广速度，同时依托社交关
系强化了信用约束效应，确保了金融交易的安全性。因此，
商业银行有必要借助社交金融的特点与优势，探索互联
网时代转型发展之路。本文在分析国内外社交金融发展
模式的基础上，总结了社交金融基本特征，指出了我国
商业银行发展社交金融面临的短板与问题，并提出了改
进思路与策略。
关键词：商业银行；社交金融；互联网+；金融生
态圈
近年来,社交金融发展如火如荼，微信红包、微信
银行、AA付款、校友贷、朋友范等社交金融产品日益丰
富。社交金融依托“万能的”朋友圈、社交圈口碑相传，
以几何级数快速精准营销，极大提升了金融业务的推广
速度；同时，社交金融注重应用场景的生活化和社交化，
将金融服务融入人们的日常生活，也给用户带来更加便
捷化的全新体验。社交金融的独特魅力与广阔前景，让
商业银行看到了巨大商机，工行“融e联”、建行“微银
行”、华夏银行“微信营业厅”、平安银行“  壹钱包”等社 ..."
18,Y2017,M02,#428,美国经济去杠杆化的进程、效果、经验教训及对中国的启示,宏观经济与市场,Macro Economy & Market,--,陆晓明,"摘要：美国在2008年发生的经济衰退是典型的
资产负债表类型衰退。衰退发生前，各私有部门债
务高速增长，导致国民经济杠杆率大幅上升；此后
私有部门开始了全面去杠杆化过程。经济去杠杆化
是一项巨大复杂的社会系统性工程，其成效的关键
是：在私有部门去杠杆化的同时能将负面影响降到
最低，特别是在经济下行或衰退期间，能帮助经济
尽快走出衰退恢复增长。美国最近的去杠杆化过程
虽不完美，但在发达市场中仍是最成功的案例，留
下了丰富的实践内容。本文拟评估美国经济自2008
年至今的去杠杆化进程及效果，总结经验教训，并
探讨对中国的启示。
关键词：美国经济；去杠杆化；对中国的启示
一、杠杆化的定义、衡量以及去杠杆
化的效果评估
  
经济杠杆化（Leveraging）指的是国民经济中债
务增长过快、过高，超过了均衡、可持续水平，并
且危及经济增长和金融稳定。这里的债务包括信贷
债务类证券、商业票据等。国民经济的杠杆化可从 ..."
19,Y2017,M02,#428,房地产长周期拐点尚需时日——兼评2016房地产新政,宏观经济与市场,Macro Economy & Market,--,王蕾 周洋,"摘要：房地产调控政策本身我们并不陌生，但
与历史上历次楼市调控政策相比，此次新政有三个
主要的不同之处。
宽货币、加杠杆以及土地财政的客观存在都
是此轮房价上涨的基本要素，使得居民“想买房”，
并“能买房”，是实际意义上的“系铃人”。因此，
未来房地产市场大势如何，要看这几个方面“解铃”
的可能性。上述三个基本因素又共同作用于房价预
期，最终推动此轮房价上涨。考虑到刚需因素并未
发生明显变化、房价租金比不具备吸引力，预期在
此轮房价暴涨中的作用益发突出，对预期的变化值
得重点关注。针对本轮调控，三个基本因素中，货
币宽松和土地财政短时间之内难以发生实质性变
化，受到直接抑制的是居民加杠杆行为，这对于房
价上涨速度的影响可能更为明显，而房价绝对值的
趋势性变化则要视另外两个因素在未来的动态演绎
过程而定。
长期来看，观察近十年的中国房价走势不难
发现，历次房价的回调幅度均相对温和，新一轮房
价上涨、尤其是在一线城市和热点二线城市，房价
均轻松超过前一轮高点，尚未出现持续久、幅度大 ..."
20,Y2017,M02,#428,区块链的技术原理及其在金融领域的应用,金融前沿,Financial Foresight,--,宫晓林  杨望  曲双石,"摘要：区块链技术是当前金融科技领域最前沿
的技术，已经引起了多国政府部门、金融机构和投
资者的广泛关注。本文以区块链技术的一个较成熟
的应用——比特币的工作原理入手，介绍区块链技
术的原理、特点及在金融行业的应用。信息不对称
问题是困扰金融机构支持实体经济发展的核心问
题。传统金融模式一直没有找到有效解决信息不对
称问题的办法。区别于传统金融模式，区块链技术
的出现为解决信息不对称问题提供了方案。未来，
随着其技术的成熟和应用的落地，区块链技术可能
给金融行业和整个金融生态带来更大的变化。
关键词：区块链；信息不对称；比特币；金融科技
引言
近年来，随着互联网金融模式的出现，一些金
融机构开始关注普通客户群体，并认为服务小微客
户是未来金融行业的蓝海。但是，服务小微客户的
成本较高，多数金融机构服务小微客户的收益和成
本不能匹配，积极性并不高。信息不对称是造成这
一现象的根本原因。作为困扰传统金融服务实体经 ..."
21,Y2017,M02,#428,我国中小企业指数综述和评析,金融前沿,Financial Foresight,--,周科,"摘要：为了更好地支持中小企业发展，需要掌
握中小企业的运行状态，因此应构建标准、客观的
中小企业指数体系。本文通过对全国性、区域性中
小企业指数的系统梳理，全面分析和评估了相关模
型、方法和数据结果，细化研究了差异点产生的内
在原因，进而提出应该打造具有公信力、解释力的
中小企业指数，以利于及时、准确地了解中小企业
发展现状和预测未来走势，为政、银、企各方采取
应对措施提供依据。
关键词：中小企业；指数；抽样调查
引言
中小企业是我国企业中数量最大、最具活力
的企业群体。促进其发展是关系民生质量和社会
稳定的重大战略任务，具有全局性的现实及长远
意义。①有的放矢地支持中小企业发展至少应满
足两个前提，首先是要明确中小企业的界定标
准，以便于定位拟重点支持的企业群体范围（周 ..."
22,Y2017,M02,#428,韩国金融监管体制演变路径与经验分析,金融前沿,Financial Foresight,--,姜海燕,"摘要：金融监管是实现市场资源有效配置、加
强市场有效管理的重要基础，对提高经济效率、防
止系统性风险的发生具有重要作用。韩国的金融监
管体系经历了1997年统合金融监管改革和2008年
的二元模式改革。现行的“统合监督、二元模式
的金融监管体系，就像金融体系的免疫系统，有效
支撑了其金融市场的稳定运行。探讨韩国的金融监
管体制的演变路径和经验，对完善我国金融监管架
构、推进监管转型有一定的参考价值。
关键词：监管体制；韩国改革
随着我国市场化改革加速推进、金融创新能力
提升、混业经营迅速发展，国内分业监管架构的缺
陷和体制漏洞日益显现。完备的金融监管体系是一
国金融体系的精髓，是有效维护金融安全、防范系
统性风险的组织保证。如何完善现有监管架构，形
成相互制衡、有机协作、分工明确的金融监管体系
是近期业内关注的热点问题。目前，研究较多的三
种典型的监管模式有美国的功能监管架构、英国的
单一监管架构、澳大利亚和荷兰的“双峰式”监管 ..."
23,Y2017,M02,#428,全球金融安全网的充足性与有效性分析,金融前沿,Financial Foresight,--,曾繁荣,"摘要：近年来，全球经济增长乏力，金融市场
波动加剧，跨境冲击传导加快。在此背景下，中国
2016年担任G20主席国后即重启了国际金融架构
工作组，并将增强“全球金融安全网”（GFSN）列
为五大议题之一。同时，中国人民银行行长周小川
2016年3月在巴黎举办的G20“国际金融架构高级
别研讨会”上明确提出，要提高GFSN的充足性和
有效性。本文在对GFSN的充足性与有效性进行分
析后发现，虽然其总资源规模在过去二十多年迅速
增长，但也存在碎片化日益明显、覆盖面更不均衡、
部分构成要素代价高昂且不可靠也不可预见、不同
要素间的协调挑战难度大等不利因素，导致GFSN
的充足性不足与有效性受限并存。
关键词：全球金融安全网；充足性；有效性；分
析
引言
过去20多年，许多国家都因金融危机而导致
经济出现大幅波动，如1997年的亚洲金融危机、 ..."
24,Y2017,M03,#429,美联储货币政策的目标、路径和当下的考量,时评,Review,--,珍妮特·耶伦,"摘要：2017年1月，美联储主席耶伦在联邦俱
乐部发表了有关美联储政策目标、路径和当下考量
的演讲。其认为美国经济在危机之后得到逐步复苏
目前已接近美联储的“双重目标”，加息过慢可能
导致过高的通胀率和金融市场不稳定。她表示，美
联储在未来3年每年都会加息数次，直到联邦基金
利率在2019年底接近自然利率水平。由于劳动生
产率的增速下降，美国自然利率水平也在下降，目
前美联储估测为3%，比3年前的估计降低了1个
百分点。
关键词：美联储；货币政策；加息
在讨论美国经济目前和未来几年所面临的挑战
之前，首先要明确美联储作为中央银行所肩负的职
责及履行路径。除了制定货币政策这一首要职责外
美联储还被赋予监管金融机构、维护金融稳定和支
付体系、促进经济发展等职责。具体包括：与联邦
和州一级其他监管机构一起监督银行等金融机构
确保其安全、健康地运营，且能公平地对待客户
将金融体系作为一个整体进行监管，维护其稳定 ..."
25,Y2017,M03,#429,“一带一路”与人民币国际化协同效应研究,银行家论坛,Banker's Forum,--,宗良,"摘要：“一带一路”与人民币国际化是当前构建我
国开放新格局和促进经济增长的两大重要战略部署，
两者既有内在的必然联系，更有巨大的协同发展空间。
本文从理论和实践角度探讨了“一带一路”与人民币
国际化的内在关系和战略协同效应，并提出了发挥协
同效应的对策建议。
关键词：一带一路；人民币国际化；协同效应
“一带一路”是我国构建改革开放新格局、实现
与沿线国家合作共赢的重大举措。“一带一路”中的
五通，即“政策沟通、设施联通、贸易畅通、资金融通、
民心相通”的逐步推进，将进一步扩大人民币的跨
境使用，促进人民币的国际化。同时，人民币国际
化将作为“润滑剂”，为“一带一路”战略的实施搭
建桥梁。人民币国际化与“一带一路”建设存在高
度正相关的逻辑关系，共同构成了新时期我国参与
引领国际新格局的两大关键抓手。两者将相向而行，
相互促进，协同发展。一方面，“一带一路”将为人
民币国际化开辟一条全新的路径；另一方面，人民币
国际化将为“一带一路”提供一种长期的、可持续的、
风险可控的资金来源。 ..."
26,Y2017,M03,#429,对次贷危机十年来美国银行业经营发展的研究与展望,银行业经营管理,Banking Management,--,魏鹏,"摘要：本文从市场、经营、组织和监管四个方面，
回顾了后危机时代美国银行业发展格局的变化，并以
美国的花旗、美银、富国和摩通等四家超大型商业银
行2006—2016年经营情况为例，比较分析了四行的盈
利水平、资产质量、资本状况等指标；同时，在剖析
当前宏观经济热点问题的基础上，对今后一个时期美
国银行业的发展进行了展望。
关键词：次贷危机；十年；经营发展；展望
2007年2月，肇始于美国房地产市场的次贷危机
（后演变为全球金融危机）不但对银行业正常运营构成
了巨大威胁，而且还造成了重大损失。这场危机使美
国宏观经济急剧下滑，陷入60年来最严重的经济衰退。
进入后危机时代，美国银行业经历了金融市场的意外
“V”型反弹，以及业务发展模式的变化和经营战略的
转型。随着美国经济的渐进好转，带动了银行业的复
苏。通过回顾花旗银行、美国银行、富国银行和摩根
大通银行这四家美国主要银行2006—2016年十年间的
业绩情况，为我们提供了研究金融危机后美国银行业
经营发展的着力点。随着特朗普于2017年1月20日
正式出任美国第45任总统，“特朗普经济政策观”将 ..."
